date,y_true_dir,y_pred_dir,proba_up,model,model_class,feature_set,horizon_months,train_start,train_end,test_month,seed
2020-01-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2019-12-31,2020-01-31,42
2020-02-29,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-01-31,2020-02-29,42
2020-03-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-02-29,2020-03-31,42
2020-04-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-03-31,2020-04-30,42
2020-05-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-04-30,2020-05-31,42
2020-06-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-05-31,2020-06-30,42
2020-07-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-06-30,2020-07-31,42
2020-08-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-07-31,2020-08-31,42
2020-09-30,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-08-31,2020-09-30,42
2020-10-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-09-30,2020-10-31,42
2020-11-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-10-31,2020-11-30,42
2020-12-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-11-30,2020-12-31,42
2021-01-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2020-12-31,2021-01-31,42
2021-02-28,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-01-31,2021-02-28,42
2021-03-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-02-28,2021-03-31,42
2021-04-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-03-31,2021-04-30,42
2021-05-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-04-30,2021-05-31,42
2021-06-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-05-31,2021-06-30,42
2021-07-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-06-30,2021-07-31,42
2021-08-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-07-31,2021-08-31,42
2021-09-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-08-31,2021-09-30,42
2021-10-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-09-30,2021-10-31,42
2021-11-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-10-31,2021-11-30,42
2021-12-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-11-30,2021-12-31,42
2022-01-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2021-12-31,2022-01-31,42
2022-02-28,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-01-31,2022-02-28,42
2022-03-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-02-28,2022-03-31,42
2022-04-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-03-31,2022-04-30,42
2022-05-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-04-30,2022-05-31,42
2022-06-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-05-31,2022-06-30,42
2022-07-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-06-30,2022-07-31,42
2022-08-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-07-31,2022-08-31,42
2022-09-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-08-31,2022-09-30,42
2022-10-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-09-30,2022-10-31,42
2022-11-30,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-10-31,2022-11-30,42
2022-12-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-11-30,2022-12-31,42
2023-01-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2022-12-31,2023-01-31,42
2023-02-28,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-01-31,2023-02-28,42
2023-03-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-02-28,2023-03-31,42
2023-04-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-03-31,2023-04-30,42
2023-05-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-04-30,2023-05-31,42
2023-06-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-05-31,2023-06-30,42
2023-07-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-06-30,2023-07-31,42
2023-08-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-07-31,2023-08-31,42
2023-09-30,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-08-31,2023-09-30,42
2023-10-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-09-30,2023-10-31,42
2023-11-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-10-31,2023-11-30,42
2023-12-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-11-30,2023-12-31,42
2024-01-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2023-12-31,2024-01-31,42
2024-02-29,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-01-31,2024-02-29,42
2024-03-31,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-02-29,2024-03-31,42
2024-04-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-03-31,2024-04-30,42
2024-05-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-04-30,2024-05-31,42
2024-06-30,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-05-31,2024-06-30,42
2024-07-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-06-30,2024-07-31,42
2024-08-31,1,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-07-31,2024-08-31,42
2024-09-30,0,1,1.0,always_up,baseline,TECH,1,2009-02-28,2024-08-31,2024-09-30,42
