,y_true_dir,p_up,pred@0.5
2020-01-31,0,0.48302226345510113,0
2020-02-29,0,0.6413735648984958,1
2020-03-31,1,0.4212728523775021,0
2020-04-30,1,0.6941445484556698,1
2020-05-31,1,0.44274082091410566,0
2020-06-30,1,0.6612972717639584,1
2020-07-31,1,0.5759873492896748,1
2020-08-31,0,0.4694450667845737,0
2020-09-30,0,0.386346517418037,0
2020-10-31,1,0.5042499917379112,1
2020-11-30,1,0.6062298328001802,1
2020-12-31,0,0.45893800419777353,0
2021-01-31,1,0.46636526668549866,0
2021-02-28,1,0.4143413577890287,0
2021-03-31,1,0.15117643545630058,0
2021-04-30,1,0.20788142134866833,0
2021-05-31,1,0.2517881319953883,0
2021-06-30,1,0.36162923563685134,0
2021-07-31,1,0.38432686955852974,0
2021-08-31,0,0.4802000172858533,0
2021-09-30,1,0.5232772471660322,1
2021-10-31,0,0.4822961583476584,0
2021-11-30,1,0.528801709982539,1
2021-12-31,0,0.5940219979574138,1
2022-01-31,0,0.7308548389233659,1
2022-02-28,1,0.8008720420888648,1
2022-03-31,0,0.8035945774893407,1
2022-04-30,1,0.9250556159690003,1
2022-05-31,0,0.8758516959917327,1
2022-06-30,1,0.9613052544938485,1
2022-07-31,0,0.9356167814362596,1
2022-08-31,0,0.9506826557048583,1
2022-09-30,1,0.9765820715234825,1
2022-10-31,1,0.976335723650846,1
2022-11-30,0,0.9239053545637068,1
2022-12-31,1,0.9566692313895349,1
2023-01-31,0,0.9353275594438648,1
2023-02-28,1,0.9335680755610084,1
2023-03-31,1,0.8649919049131353,1
2023-04-30,1,0.7989181200985379,1
2023-05-31,1,0.7273714856167232,1
2023-06-30,1,0.6169979452655593,1
2023-07-31,0,0.6345937984616193,1
2023-08-31,0,0.54493550062967,1
2023-09-30,0,0.660123199251269,1
2023-10-31,1,0.8196264352750303,1
2023-11-30,1,0.7679958455596637,1
2023-12-31,1,0.3834003508338341,0
2024-01-31,1,0.48793722396056494,0
2024-02-29,1,0.42000751074765025,0
2024-03-31,0,0.3478515218758322,0
2024-04-30,1,0.4492179739860779,0
2024-05-31,1,0.44725795086902087,0
2024-06-30,1,0.42856752574398044,0
2024-07-31,1,0.3702736432059421,0
2024-08-31,1,0.25774842873021164,0
2024-09-30,0,0.15063424717352034,0
2024-10-31,1,0.12842050174260589,0
2024-11-30,0,0.1803395598378201,0
2024-12-31,1,0.3294930529185054,0
2025-01-31,0,0.38170499142356445,0
2025-02-28,0,0.3774082744789152,0
2025-03-31,0,0.58196675552956,1
2025-04-30,1,0.43210666982808804,0
2025-05-31,1,0.47317537883456645,0
