model,model_class,feature_set,task,accuracy,precision,recall,f1,auc,brier,sharpe,sortino,rachev,dm_stat,dm_pvalue,mcnemar_stat,mcnemar_p,n_obs,train_start,train_end,test_start,test_end,seed,coef_path,permimp_path,cv_details_path,threshold,oof_f1,oof_auc
always_up,baseline,TECH,direction_1m,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603774,0.5,0.36923076923076925,0.2192048041450117,0.3617243799852079,1.0385823575991147,,,inf,0.0,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.8,0.5
majority_class,baseline,TECH,direction_1m,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603774,,,0.2192048041450117,0.3617243799852079,1.0385823575991147,,,inf,0.0,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.8,
persistence,baseline,TECH,direction_1m,0.5230769230769231,0.625,0.6097560975609756,0.6172839506172839,,,0.13264602308549936,0.167152574583096,1.0369395221820896,1.4106196212076596,0.15835680292175747,1.44,0.23013934044341314,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.7228915662650602,
sma_crossover,baseline,TECH,direction_1m,0.5538461538461539,0.625,0.7317073170731707,0.6741573033707865,,,0.18435682861407005,0.2450752450006405,1.2377931109365579,1.2171612389003692,0.22354287457132038,0.9411764705882353,0.3319754670827342,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,C:\Users\gamer\Desktop\AktienPrognose\artifacts\metrics\cv_details_sma_crossover.csv,0.5,0.7741935483870968,
always_up,baseline,MACRO,direction_1m,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603774,0.5,0.36923076923076925,0.2192048041450117,0.3617243799852079,1.0385823575991147,,,inf,0.0,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.8,0.5
majority_class,baseline,MACRO,direction_1m,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603774,,,0.2192048041450117,0.3617243799852079,1.0385823575991147,,,inf,0.0,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.8,
persistence,baseline,MACRO,direction_1m,0.5230769230769231,0.625,0.6097560975609756,0.6172839506172839,,,0.13264602308549936,0.167152574583096,1.0369395221820896,1.4106196212076596,0.15835680292175747,1.44,0.23013934044341314,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.7228915662650602,
sma_crossover,baseline,MACRO,direction_1m,0.5538461538461539,0.625,0.7317073170731707,0.6741573033707865,,,0.18435682861407005,0.2450752450006405,1.2377931109365579,1.2171612389003692,0.22354287457132038,0.9411764705882353,0.3319754670827342,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,C:\Users\gamer\Desktop\AktienPrognose\artifacts\metrics\cv_details_sma_crossover.csv,0.5,0.7741935483870968,
always_up,baseline,INTEGRATED,direction_1m,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603774,0.5,0.36923076923076925,0.2192048041450117,0.3617243799852079,1.0385823575991147,,,inf,0.0,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.8,0.5
majority_class,baseline,INTEGRATED,direction_1m,0.6307692307692307,0.6307692307692307,1.0,0.7735849056603774,,,0.2192048041450117,0.3617243799852079,1.0385823575991147,,,inf,0.0,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.8,
persistence,baseline,INTEGRATED,direction_1m,0.5230769230769231,0.625,0.6097560975609756,0.6172839506172839,,,0.13264602308549936,0.167152574583096,1.0369395221820896,1.4106196212076596,0.15835680292175747,1.44,0.23013934044341314,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,,0.5,0.7228915662650602,
sma_crossover,baseline,INTEGRATED,direction_1m,0.5538461538461539,0.625,0.7317073170731707,0.6741573033707865,,,0.18435682861407005,0.2450752450006405,1.2377931109365579,1.2171612389003692,0.22354287457132038,0.9411764705882353,0.3319754670827342,65,2009-02-28,2019-12-31,2020-01-31,2025-05-31,42,,,C:\Users\gamer\Desktop\AktienPrognose\artifacts\metrics\cv_details_sma_crossover.csv,0.5,0.7741935483870968,
